year,geography,metric,unit,vector,value,decimals
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Weighted clearance rate,Number,v53079525,29.16,2
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Violent weighted clearance rate,Number,v53079527,52.8,2
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Non-violent weighted clearance rate,Number,v53079529,21.99,2
1998,"Ottawa-Gatineau, Ontario/Quebec [24505/35505]",Percent change in non-violent weighted clearance rate,Percent,v53079530,,2
1998,"Ottawa-Gatineau, Ontario part",Crime severity index,Index,v44312563,113.82,2
1998,"Ottawa-Gatineau, Ontario part",Violent crime severity index,Index,v44312565,101.0,2
1998,"Ottawa-Gatineau, Ontario part",Non-violent crime severity index,Index,v44312567,118.75,2
1998,"Ottawa-Gatineau, Ontario part",Youth crime severity index,Index,v53079540,,2
1998,"Ottawa-Gatineau, Ontario part",Youth violent crime severity index,Index,v53079541,,2
1998,"Ottawa-Gatineau, Ontario part",Youth non-violent crime severity index,Index,v53079533,,2
1998,"Ottawa-Gatineau, Ontario part",Weighted clearance rate,Number,v53079534,27.67,2
1998,"Ottawa-Gatineau, Ontario part",Violent weighted clearance rate,Number,v53079536,49.58,2
1998,"Ottawa-Gatineau, Ontario part",Non-violent weighted clearance rate,Number,v53079538,20.51,2
1998,"Ottawa-Gatineau, Ontario part",Percent change in non-violent weighted clearance rate,Percent,v53079539,,2
1998,"Toronto, Ontario",Crime severity index,Index,v44312569,91.83,2
1998,"Toronto, Ontario",Violent crime severity index,Index,v44312571,98.7,2
1998,"Toronto, Ontario",Non-violent crime severity index,Index,v44312573,89.18,2
1998,"Toronto, Ontario",Youth crime severity index,Index,v53079549,,2
1998,"Toronto, Ontario",Youth violent crime severity index,Index,v53079550,,2
1998,"Toronto, Ontario",Youth non-violent crime severity index,Index,v53079542,,2
1998,"Toronto, Ontario",Weighted clearance rate,Number,v53079543,31.71,2
1998,"Toronto, Ontario",Violent weighted clearance rate,Number,v53079545,44.66,2
1998,"Toronto, Ontario",Non-violent weighted clearance rate,Number,v53079547,26.2,2
1998,"Toronto, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079548,,2
1998,"Hamilton, Ontario",Crime severity index,Index,v44312575,100.94,2
1998,"Hamilton, Ontario",Violent crime severity index,Index,v44312577,79.44,2
1998,"Hamilton, Ontario",Non-violent crime severity index,Index,v44312579,109.21,2
1998,"Hamilton, Ontario",Youth crime severity index,Index,v53079570,,2
1998,"Hamilton, Ontario",Youth violent crime severity index,Index,v53079571,,2
1998,"Hamilton, Ontario",Youth non-violent crime severity index,Index,v53079563,,2
1998,"Hamilton, Ontario",Weighted clearance rate,Number,v53079564,30.03,2
1998,"Hamilton, Ontario",Violent weighted clearance rate,Number,v53079566,50.57,2
1998,"Hamilton, Ontario",Non-violent weighted clearance rate,Number,v53079568,24.28,2
1998,"Hamilton, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079569,,2
1998,"St.Catharines-Niagara, Ontario",Crime severity index,Index,v44312581,107.97,2
1998,"St.Catharines-Niagara, Ontario",Violent crime severity index,Index,v44312583,63.04,2
1998,"St.Catharines-Niagara, Ontario",Non-violent crime severity index,Index,v44312585,125.24,2
1998,"St.Catharines-Niagara, Ontario",Youth crime severity index,Index,v53079579,,2
1998,"St.Catharines-Niagara, Ontario",Youth violent crime severity index,Index,v53079580,,2
1998,"St.Catharines-Niagara, Ontario",Youth non-violent crime severity index,Index,v53079572,,2
1998,"St.Catharines-Niagara, Ontario",Weighted clearance rate,Number,v53079573,34.94,2
1998,"St.Catharines-Niagara, Ontario",Violent weighted clearance rate,Number,v53079575,67.61,2
1998,"St.Catharines-Niagara, Ontario",Non-violent weighted clearance rate,Number,v53079577,28.62,2
1998,"St.Catharines-Niagara, Ontario",Percent change in non-violent weighted clearance rate,Percent,v53079578,,2
1998,"Kitchener-Cambridge-Waterloo, Ontario",Crime severity index,Index,v44312587,100.61,2
1998,"Kitchener-Cambridge-Waterloo, Ontario",Violent crime severity index,Index,v44312589,72.92,2
1998,"Kitchener-Cambridge-Waterloo, Ontario",Non-violent crime severity index,Index,v44312591,111.25,2
1998,"Kitchener-Cambridge-Waterloo, Ontario",Youth crime severity index,Index,v53079588,,2
1998,"Kitchener-Cambridge-Waterloo, Ontario",Youth violent crime severity index,Index,v53079589,,2
1998,"Kitchener-Cambridge-Waterloo, Ontario",Youth non-violent crime severity index,Index,v53079581,,2
1998,"Kitchener-Cambridge-Waterloo, Ontario",Weighted clearance rate,Number,v53079582,30.84,2
